,Date,To_Date,Predict_values
636,2013-02-24,2013-03-03,1
637,2013-03-03,2013-03-10,1
638,2013-03-10,2013-03-17,1
639,2013-03-17,2013-03-24,0
640,2013-03-24,2013-03-31,0
641,2013-03-31,2013-04-07,0
642,2013-04-07,2013-04-14,0
643,2013-04-14,2013-04-21,1
644,2013-04-21,2013-04-28,1
645,2013-04-28,2013-05-05,1
646,2013-05-05,2013-05-12,0
647,2013-05-12,2013-05-19,1
648,2013-05-19,2013-05-26,1
649,2013-05-26,2013-06-02,1
650,2013-06-02,2013-06-09,0
651,2013-06-09,2013-06-16,0
652,2013-06-16,2013-06-23,0
653,2013-06-23,2013-06-30,1
654,2013-06-30,2013-07-07,1
655,2013-07-07,2013-07-14,1
656,2013-07-14,2013-07-21,0
657,2013-07-21,2013-07-28,0
658,2013-07-28,2013-08-04,0
659,2013-08-04,2013-08-11,0
660,2013-08-11,2013-08-18,0
661,2013-08-18,2013-08-25,0
662,2013-08-25,2013-09-01,1
663,2013-09-01,2013-09-08,1
664,2013-09-08,2013-09-15,1
665,2013-09-15,2013-09-22,0
666,2013-09-22,2013-09-29,0
667,2013-09-29,2013-10-06,0
668,2013-10-06,2013-10-13,1
669,2013-10-13,2013-10-20,1
670,2013-10-20,2013-10-27,0
671,2013-10-27,2013-11-03,0
672,2013-11-03,2013-11-10,1
673,2013-11-10,2013-11-17,1
674,2013-11-17,2013-11-24,0
675,2013-11-24,2013-12-01,0
676,2013-12-01,2013-12-08,0
677,2013-12-08,2013-12-15,0
678,2013-12-15,2013-12-22,1
679,2013-12-22,2013-12-29,1
680,2013-12-29,2014-01-05,0
681,2014-01-05,2014-01-12,0
682,2014-01-12,2014-01-19,0
683,2014-01-19,2014-01-26,0
684,2014-01-26,2014-02-02,0
685,2014-02-02,2014-02-09,1
686,2014-02-09,2014-02-16,0
687,2014-02-16,2014-02-23,0
688,2014-02-23,2014-03-02,0
689,2014-03-02,2014-03-09,0
690,2014-03-09,2014-03-16,0
691,2014-03-16,2014-03-23,1
692,2014-03-23,2014-03-30,1
693,2014-03-30,2014-04-06,1
694,2014-04-06,2014-04-13,0
695,2014-04-13,2014-04-20,0
696,2014-04-20,2014-04-27,0
697,2014-04-27,2014-05-04,0
698,2014-05-04,2014-05-11,0
699,2014-05-11,2014-05-18,1
700,2014-05-18,2014-05-25,1
701,2014-05-25,2014-06-01,1
702,2014-06-01,2014-06-08,1
703,2014-06-08,2014-06-15,0
704,2014-06-15,2014-06-22,0
705,2014-06-22,2014-06-29,0
706,2014-06-29,2014-07-06,0
707,2014-07-06,2014-07-13,0
708,2014-07-13,2014-07-20,0
709,2014-07-20,2014-07-27,1
710,2014-07-27,2014-08-03,1
711,2014-08-03,2014-08-10,1
712,2014-08-10,2014-08-17,1
713,2014-08-17,2014-08-24,1
714,2014-08-24,2014-08-31,1
715,2014-08-31,2014-09-07,1
716,2014-09-07,2014-09-14,1
717,2014-09-14,2014-09-21,1
718,2014-09-21,2014-09-28,1
719,2014-09-28,2014-10-05,1
720,2014-10-05,2014-10-12,1
721,2014-10-12,2014-10-19,1
722,2014-10-19,2014-10-26,1
723,2014-10-26,2014-11-02,1
724,2014-11-02,2014-11-09,1
725,2014-11-09,2014-11-16,1
726,2014-11-16,2014-11-23,1
727,2014-11-23,2014-11-30,1
728,2014-11-30,2014-12-07,1
729,2014-12-07,2014-12-14,1
730,2014-12-14,2014-12-21,0
731,2014-12-21,2014-12-28,1
732,2014-12-28,2015-01-04,1
733,2015-01-04,2015-01-11,1
734,2015-01-11,2015-01-18,1
735,2015-01-18,2015-01-25,1
736,2015-01-25,2015-02-01,1
737,2015-02-01,2015-02-08,0
738,2015-02-08,2015-02-15,0
739,2015-02-15,2015-02-22,0
740,2015-02-22,2015-03-01,0
741,2015-03-01,2015-03-08,1
742,2015-03-08,2015-03-15,1
743,2015-03-15,2015-03-22,1
744,2015-03-22,2015-03-29,0
745,2015-03-29,2015-04-05,0
746,2015-04-05,2015-04-12,0
747,2015-04-12,2015-04-19,1
748,2015-04-19,2015-04-26,0
749,2015-04-26,2015-05-03,0
750,2015-05-03,2015-05-10,0
751,2015-05-10,2015-05-17,0
752,2015-05-17,2015-05-24,0
753,2015-05-24,2015-05-31,1
754,2015-05-31,2015-06-07,1
755,2015-06-07,2015-06-14,1
756,2015-06-14,2015-06-21,0
757,2015-06-21,2015-06-28,0
758,2015-06-28,2015-07-05,0
759,2015-07-05,2015-07-12,1
760,2015-07-12,2015-07-19,1
761,2015-07-19,2015-07-26,1
762,2015-07-26,2015-08-02,1
763,2015-08-02,2015-08-09,0
764,2015-08-09,2015-08-16,1
765,2015-08-16,2015-08-23,0
766,2015-08-23,2015-08-30,0
767,2015-08-30,2015-09-06,1
768,2015-09-06,2015-09-13,1
769,2015-09-13,2015-09-20,0
770,2015-09-20,2015-09-27,0
771,2015-09-27,2015-10-04,1
772,2015-10-04,2015-10-11,1
773,2015-10-11,2015-10-18,0
774,2015-10-18,2015-10-25,0
775,2015-10-25,2015-11-01,0
776,2015-11-01,2015-11-08,0
777,2015-11-08,2015-11-15,1
778,2015-11-15,2015-11-22,1
779,2015-11-22,2015-11-29,0
780,2015-11-29,2015-12-06,1
781,2015-12-06,2015-12-13,0
782,2015-12-13,2015-12-20,0
783,2015-12-20,2015-12-27,1
784,2015-12-27,2016-01-03,1
785,2016-01-03,2016-01-10,1
786,2016-01-10,2016-01-17,1
787,2016-01-17,2016-01-24,1
788,2016-01-24,2016-01-31,1
789,2016-01-31,2016-02-07,1
790,2016-02-07,2016-02-14,0
791,2016-02-14,2016-02-21,0
792,2016-02-21,2016-02-28,1
793,2016-02-28,2016-03-06,1
794,2016-03-06,2016-03-13,1
795,2016-03-13,2016-03-20,0
796,2016-03-20,2016-03-27,0
797,2016-03-27,2016-04-03,1
798,2016-04-03,2016-04-10,1
799,2016-04-10,2016-04-17,1
800,2016-04-17,2016-04-24,1
801,2016-04-24,2016-05-01,0
802,2016-05-01,2016-05-08,0
803,2016-05-08,2016-05-15,1
804,2016-05-15,2016-05-22,1
805,2016-05-22,2016-05-29,0
806,2016-05-29,2016-06-05,0
807,2016-06-05,2016-06-12,0
808,2016-06-12,2016-06-19,1
809,2016-06-19,2016-06-26,1
810,2016-06-26,2016-07-03,1
811,2016-07-03,2016-07-10,1
812,2016-07-10,2016-07-17,1
813,2016-07-17,2016-07-24,0
814,2016-07-24,2016-07-31,0
815,2016-07-31,2016-08-07,0
816,2016-08-07,2016-08-14,0
817,2016-08-14,2016-08-21,1
818,2016-08-21,2016-08-28,1
819,2016-08-28,2016-09-04,0
820,2016-09-04,2016-09-11,0
821,2016-09-11,2016-09-18,0
822,2016-09-18,2016-09-25,1
823,2016-09-25,2016-10-02,1
824,2016-10-02,2016-10-09,1
825,2016-10-09,2016-10-16,1
826,2016-10-16,2016-10-23,1
827,2016-10-23,2016-10-30,1
828,2016-10-30,2016-11-06,1
829,2016-11-06,2016-11-13,0
830,2016-11-13,2016-11-20,0
831,2016-11-20,2016-11-27,1
832,2016-11-27,2016-12-04,1
833,2016-12-04,2016-12-11,0
834,2016-12-11,2016-12-18,1
835,2016-12-18,2016-12-25,1
836,2016-12-25,2017-01-01,1
837,2017-01-01,2017-01-08,0
838,2017-01-08,2017-01-15,0
839,2017-01-15,2017-01-22,1
840,2017-01-22,2017-01-29,0
841,2017-01-29,2017-02-05,0
842,2017-02-05,2017-02-12,0
843,2017-02-12,2017-02-19,1
844,2017-02-19,2017-02-26,1
845,2017-02-26,2017-03-05,1
846,2017-03-05,2017-03-12,1
847,2017-03-12,2017-03-19,1
848,2017-03-19,2017-03-26,0
849,2017-03-26,2017-04-02,0
850,2017-04-02,2017-04-09,0
851,2017-04-09,2017-04-16,1
852,2017-04-16,2017-04-23,1
853,2017-04-23,2017-04-30,0
854,2017-04-30,2017-05-07,0
855,2017-05-07,2017-05-14,0
856,2017-05-14,2017-05-21,1
857,2017-05-21,2017-05-28,1
858,2017-05-28,2017-06-04,1
859,2017-06-04,2017-06-11,1
860,2017-06-11,2017-06-18,1
861,2017-06-18,2017-06-25,0
862,2017-06-25,2017-07-02,0
863,2017-07-02,2017-07-09,0
864,2017-07-09,2017-07-16,0
865,2017-07-16,2017-07-23,0
866,2017-07-23,2017-07-30,1
867,2017-07-30,2017-08-06,1
868,2017-08-06,2017-08-13,1
869,2017-08-13,2017-08-20,1
870,2017-08-20,2017-08-27,1
871,2017-08-27,2017-09-03,1
872,2017-09-03,2017-09-10,0
873,2017-09-10,2017-09-17,0
874,2017-09-17,2017-09-24,0
875,2017-09-24,2017-10-01,0
876,2017-10-01,2017-10-08,1
877,2017-10-08,2017-10-15,1
878,2017-10-15,2017-10-22,1
879,2017-10-22,2017-10-29,1
880,2017-10-29,2017-11-05,1
881,2017-11-05,2017-11-12,1
882,2017-11-12,2017-11-19,0
883,2017-11-19,2017-11-26,0
884,2017-11-26,2017-12-03,0
885,2017-12-03,2017-12-10,0
886,2017-12-10,2017-12-17,1
887,2017-12-17,2017-12-24,1
888,2017-12-24,2017-12-31,1
889,2017-12-31,2018-01-07,0
890,2018-01-07,2018-01-14,0
891,2018-01-14,2018-01-21,0
892,2018-01-21,2018-01-28,0
893,2018-01-28,2018-02-04,0
894,2018-02-04,2018-02-11,0
895,2018-02-11,2018-02-18,1
896,2018-02-18,2018-02-25,1
897,2018-02-25,2018-03-04,0
898,2018-03-04,2018-03-11,1
899,2018-03-11,2018-03-18,0
900,2018-03-18,2018-03-25,0
901,2018-03-25,2018-04-01,0
902,2018-04-01,2018-04-08,1
903,2018-04-08,2018-04-15,1
904,2018-04-15,2018-04-22,0
905,2018-04-22,2018-04-29,1
906,2018-04-29,2018-05-06,1
907,2018-05-06,2018-05-13,1
908,2018-05-13,2018-05-20,1
909,2018-05-20,2018-05-27,1
910,2018-05-27,2018-06-03,1
911,2018-06-03,2018-06-10,1
912,2018-06-10,2018-06-17,0
913,2018-06-17,2018-06-24,1
914,2018-06-24,2018-07-01,1
915,2018-07-01,2018-07-08,1
916,2018-07-08,2018-07-15,0
917,2018-07-15,2018-07-22,1
918,2018-07-22,2018-07-29,1
919,2018-07-29,2018-08-05,1
920,2018-08-05,2018-08-12,1
921,2018-08-12,2018-08-19,1
922,2018-08-19,2018-08-26,1
923,2018-08-26,2018-09-02,0
924,2018-09-02,2018-09-09,0
925,2018-09-09,2018-09-16,0
926,2018-09-16,2018-09-23,0
927,2018-09-23,2018-09-30,1
928,2018-09-30,2018-10-07,1
929,2018-10-07,2018-10-14,0
930,2018-10-14,2018-10-21,0
931,2018-10-21,2018-10-28,1
932,2018-10-28,2018-11-04,1
933,2018-11-04,2018-11-11,0
934,2018-11-11,2018-11-18,0
935,2018-11-18,2018-11-25,1
936,2018-11-25,2018-12-02,1
937,2018-12-02,2018-12-09,1
938,2018-12-09,2018-12-16,1
939,2018-12-16,2018-12-23,1
940,2018-12-23,2018-12-30,0
941,2018-12-30,2019-01-06,0
942,2019-01-06,2019-01-13,0
943,2019-01-13,2019-01-20,0
944,2019-01-20,2019-01-27,0
945,2019-01-27,2019-02-03,0
946,2019-02-03,2019-02-10,1
947,2019-02-10,2019-02-17,1
948,2019-02-17,2019-02-24,1
949,2019-02-24,2019-03-03,0
950,2019-03-03,2019-03-10,0
951,2019-03-10,2019-03-17,1
952,2019-03-17,2019-03-24,0
953,2019-03-24,2019-03-31,0
954,2019-03-31,2019-04-07,1
955,2019-04-07,2019-04-14,1
956,2019-04-14,2019-04-21,0
957,2019-04-21,2019-04-28,0
958,2019-04-28,2019-05-05,0
959,2019-05-05,2019-05-12,0
960,2019-05-12,2019-05-19,0
961,2019-05-19,2019-05-26,1
962,2019-05-26,2019-06-02,1
963,2019-06-02,2019-06-09,1
964,2019-06-09,2019-06-16,0
965,2019-06-16,2019-06-23,1
966,2019-06-23,2019-06-30,0
967,2019-06-30,2019-07-07,0
968,2019-07-07,2019-07-14,1
969,2019-07-14,2019-07-21,1
970,2019-07-21,2019-07-28,1
971,2019-07-28,2019-08-04,1
972,2019-08-04,2019-08-11,1
973,2019-08-11,2019-08-18,1
974,2019-08-18,2019-08-25,0
975,2019-08-25,2019-09-01,0
976,2019-09-01,2019-09-08,0
977,2019-09-08,2019-09-15,0
978,2019-09-15,2019-09-22,0
979,2019-09-22,2019-09-29,1
980,2019-09-29,2019-10-06,1
981,2019-10-06,2019-10-13,1
982,2019-10-13,2019-10-20,0
983,2019-10-20,2019-10-27,0
984,2019-10-27,2019-11-03,1
985,2019-11-03,2019-11-10,0
986,2019-11-10,2019-11-17,1
987,2019-11-17,2019-11-24,1
988,2019-11-24,2019-12-01,1
989,2019-12-01,2019-12-08,1
990,2019-12-08,2019-12-15,0
991,2019-12-15,2019-12-22,0
992,2019-12-22,2019-12-29,1
993,2019-12-29,2020-01-05,1
994,2020-01-05,2020-01-12,0
995,2020-01-12,2020-01-19,0
996,2020-01-19,2020-01-26,0
997,2020-01-26,2020-02-02,0
998,2020-02-02,2020-02-09,0
999,2020-02-09,2020-02-16,1
1000,2020-02-16,2020-02-23,1
1001,2020-02-23,2020-03-01,1
1002,2020-03-01,2020-03-08,1
1003,2020-03-08,2020-03-15,1
1004,2020-03-15,2020-03-22,1
1005,2020-03-22,2020-03-29,1
1006,2020-03-29,2020-04-05,0
1007,2020-04-05,2020-04-12,1
1008,2020-04-12,2020-04-19,1
1009,2020-04-19,2020-04-26,0
1010,2020-04-26,2020-05-03,1
1011,2020-05-03,2020-05-10,1
1012,2020-05-10,2020-05-17,1
1013,2020-05-17,2020-05-24,1
1014,2020-05-24,2020-05-31,1
1015,2020-05-31,2020-06-07,0
1016,2020-06-07,2020-06-14,0
1017,2020-06-14,2020-06-21,0
1018,2020-06-21,2020-06-28,1
1019,2020-06-28,2020-07-05,1
1020,2020-07-05,2020-07-12,0
1021,2020-07-12,2020-07-19,0
1022,2020-07-19,2020-07-26,0
1023,2020-07-26,2020-08-02,0
1024,2020-08-02,2020-08-09,0
1025,2020-08-09,2020-08-16,0
1026,2020-08-16,2020-08-23,0
1027,2020-08-23,2020-08-30,1
1028,2020-08-30,2020-09-06,0
1029,2020-09-06,2020-09-13,1
1030,2020-09-13,2020-09-20,1
1031,2020-09-20,2020-09-27,1
1032,2020-09-27,2020-10-04,1
1033,2020-10-04,2020-10-11,0
1034,2020-10-11,2020-10-18,0
1035,2020-10-18,2020-10-25,1
1036,2020-10-25,2020-11-01,0
1037,2020-11-01,2020-11-08,1
1038,2020-11-08,2020-11-15,0
1039,2020-11-15,2020-11-22,0
1040,2020-11-22,2020-11-29,0
1041,2020-11-29,2020-12-06,0
1042,2020-12-06,2020-12-13,1
1043,2020-12-13,2020-12-20,1
1044,2020-12-20,2020-12-27,1
1045,2020-12-27,2021-01-03,0
1046,2021-01-03,2021-01-10,0
1047,2021-01-10,2021-01-17,1
1048,2021-01-17,2021-01-24,1
1049,2021-01-24,2021-01-31,0
1050,2021-01-31,2021-02-07,0
1051,2021-02-07,2021-02-14,0
1052,2021-02-14,2021-02-21,0
1053,2021-02-21,2021-02-28,0
1054,2021-02-28,2021-03-07,1
1055,2021-03-07,2021-03-14,1
1056,2021-03-14,2021-03-21,1
1057,2021-03-21,2021-03-28,0
1058,2021-03-28,2021-04-04,0
1059,2021-04-04,2021-04-11,0
1060,2021-04-11,2021-04-18,1
1061,2021-04-18,2021-04-25,0
1062,2021-04-25,2021-05-02,0
1063,2021-05-02,2021-05-09,0
1064,2021-05-09,2021-05-16,0
1065,2021-05-16,2021-05-23,0
1066,2021-05-23,2021-05-30,0
1067,2021-05-30,2021-06-06,0
1068,2021-06-06,2021-06-13,1
1069,2021-06-13,2021-06-20,1
1070,2021-06-20,2021-06-27,1
1071,2021-06-27,2021-07-04,1
1072,2021-07-04,2021-07-11,1
1073,2021-07-11,2021-07-18,0
1074,2021-07-18,2021-07-25,1
1075,2021-07-25,2021-08-01,0
1076,2021-08-01,2021-08-08,0
1077,2021-08-08,2021-08-15,0
1078,2021-08-15,2021-08-22,1
1079,2021-08-22,2021-08-29,1
1080,2021-08-29,2021-09-05,1
1081,2021-09-05,2021-09-12,0
1082,2021-09-12,2021-09-19,0
1083,2021-09-19,2021-09-26,1
1084,2021-09-26,2021-10-03,1
1085,2021-10-03,2021-10-10,1
1086,2021-10-10,2021-10-17,0
1087,2021-10-17,2021-10-24,0
1088,2021-10-24,2021-10-31,0
1089,2021-10-31,2021-11-07,1
1090,2021-11-07,2021-11-14,1
1091,2021-11-14,2021-11-21,1
1092,2021-11-21,2021-11-28,1
1093,2021-11-28,2021-12-05,1
1094,2021-12-05,2021-12-12,1
1095,2021-12-12,2021-12-19,1
1096,2021-12-19,2021-12-26,0
1097,2021-12-26,2022-01-02,0
1098,2022-01-02,2022-01-09,0
1099,2022-01-09,2022-01-16,0
1100,2022-01-16,2022-01-23,0
1101,2022-01-23,2022-01-30,1
1102,2022-01-30,2022-02-06,1
1103,2022-02-06,2022-02-13,1
1104,2022-02-13,2022-02-20,0
1105,2022-02-20,2022-02-27,0
1106,2022-02-27,2022-03-06,1
1107,2022-03-06,2022-03-13,1
1108,2022-03-13,2022-03-20,1
1109,2022-03-20,2022-03-27,0
1110,2022-03-27,2022-04-03,0
1111,2022-04-03,2022-04-10,1
1112,2022-04-10,2022-04-17,1
1113,2022-04-17,2022-04-24,1
1114,2022-04-24,2022-05-01,1
1115,2022-05-01,2022-05-08,1
1116,2022-05-08,2022-05-15,1
1117,2022-05-15,2022-05-22,1
1118,2022-05-22,2022-05-29,0
1119,2022-05-29,2022-06-05,0
1120,2022-06-05,2022-06-12,1
1121,2022-06-12,2022-06-19,1
1122,2022-06-19,2022-06-26,1
1123,2022-06-26,2022-07-03,1
1124,2022-07-03,2022-07-10,1
1125,2022-07-10,2022-07-17,1
1126,2022-07-17,2022-07-24,1
1127,2022-07-24,2022-07-31,0
1128,2022-07-31,2022-08-07,0
1129,2022-08-07,2022-08-14,0
1130,2022-08-14,2022-08-21,1
1131,2022-08-21,2022-08-28,1
1132,2022-08-28,2022-09-04,1
1133,2022-09-04,2022-09-11,1
1134,2022-09-11,2022-09-18,0
1135,2022-09-18,2022-09-25,1
1136,2022-09-25,2022-10-02,1
1137,2022-10-02,2022-10-09,0
1138,2022-10-09,2022-10-16,0
1139,2022-10-16,2022-10-23,0
1140,2022-10-23,2022-10-30,0
1141,2022-10-30,2022-11-06,0
1142,2022-11-06,2022-11-13,1
1143,2022-11-13,2022-11-20,0
1144,2022-11-20,2022-11-27,0
1145,2022-11-27,2022-12-04,0
1146,2022-12-04,2022-12-11,0
1147,2022-12-11,2022-12-18,0
1148,2022-12-18,2022-12-25,1
1149,2022-12-25,2023-01-01,1
1150,2023-01-01,2023-01-08,1
1151,2023-01-08,2023-01-15,0
1152,2023-01-15,2023-01-22,0
1153,2023-01-22,2023-01-29,0
1154,2023-01-29,2023-02-05,0
1155,2023-02-05,2023-02-12,1
1156,2023-02-12,2023-02-19,1
1157,2023-02-19,2023-02-26,1
1158,2023-02-26,2023-03-05,1
1159,2023-03-05,2023-03-12,0
1160,2023-03-12,2023-03-19,0
1161,2023-03-19,2023-03-26,0
1162,2023-03-26,2023-04-02,0
1163,2023-04-02,2023-04-09,0
1164,2023-04-09,2023-04-16,0
1165,2023-04-16,2023-04-23,0
1166,2023-04-23,2023-04-30,0
1167,2023-04-30,2023-05-07,0
1168,2023-05-07,2023-05-14,0
1169,2023-05-14,2023-05-21,1
1170,2023-05-21,2023-05-28,1
1171,2023-05-28,2023-06-04,1
1172,2023-06-04,2023-06-11,0
1173,2023-06-11,2023-06-18,0
1174,2023-06-18,2023-06-25,0
1175,2023-06-25,2023-07-02,0
1176,2023-07-02,2023-07-09,1
1177,2023-07-09,2023-07-16,0
1178,2023-07-16,2023-07-23,0
1179,2023-07-23,2023-07-30,1
1180,2023-07-30,2023-08-06,1
1181,2023-08-06,2023-08-13,1
1182,2023-08-13,2023-08-20,1
1183,2023-08-20,2023-08-27,0
1184,2023-08-27,2023-09-03,1
1185,2023-09-03,2023-09-10,1
1186,2023-09-10,2023-09-17,1
1187,2023-09-17,2023-09-24,1
1188,2023-09-24,2023-10-01,1
1189,2023-10-01,2023-10-08,1
1190,2023-10-08,2023-10-15,1
1191,2023-10-15,2023-10-22,1
1192,2023-10-22,2023-10-29,1
1193,2023-10-29,2023-11-05,1
1194,2023-11-05,2023-11-12,0
1195,2023-11-12,2023-11-19,1
1196,2023-11-19,2023-11-26,1
1197,2023-11-26,2023-12-03,0
1198,2023-12-03,2023-12-10,0
1199,2023-12-10,2023-12-17,1
1200,2023-12-17,2023-12-24,1
1201,2023-12-24,2023-12-31,0
1202,2023-12-31,2024-01-07,0
1203,2024-01-07,2024-01-14,0
1204,2024-01-14,2024-01-21,0
1205,2024-01-21,2024-01-28,1
1206,2024-01-28,2024-02-04,1
1207,2024-02-04,2024-02-11,1
1208,2024-02-11,2024-02-18,1
1209,2024-02-18,2024-02-25,0
1210,2024-02-25,2024-03-03,0
1211,2024-03-03,2024-03-10,0
1212,2024-03-10,2024-03-17,0
1213,2024-03-17,2024-03-24,1
1214,2024-03-24,2024-03-31,1
1215,2024-03-31,2024-04-07,1
1216,2024-04-07,2024-04-14,0
1217,2024-04-14,2024-04-21,1
1218,2024-04-21,2024-04-28,1
1219,2024-04-28,2024-05-05,0
1220,2024-05-05,2024-05-12,0
1221,2024-05-12,2024-05-19,0
1222,2024-05-19,2024-05-26,0
1223,2024-05-26,2024-06-02,0
1224,2024-06-02,2024-06-09,1
1225,2024-06-09,2024-06-16,1
1226,2024-06-16,2024-06-23,1
1227,2024-06-23,2024-06-30,1
1228,2024-06-30,2024-07-07,0
1229,2024-07-07,2024-07-14,0
1230,2024-07-14,2024-07-21,0
1231,2024-07-21,2024-07-28,0
1232,2024-07-28,2024-08-04,1
1233,2024-08-04,2024-08-11,1
1234,2024-08-11,2024-08-18,1
1235,2024-08-18,2024-08-25,0
1236,2024-08-25,2024-09-01,0
1237,2024-09-01,2024-09-08,0
1238,2024-09-08,2024-09-15,0
1239,2024-09-15,2024-09-22,0
1240,2024-09-22,2024-09-29,0
1241,2024-09-29,2024-10-06,0
1242,2024-10-06,2024-10-13,1
1243,2024-10-13,2024-10-20,1
1244,2024-10-20,2024-10-27,1
1245,2024-10-27,2024-11-03,1
1246,2024-11-03,2024-11-10,0
1247,2024-11-10,2024-11-17,1
1248,2024-11-17,2024-11-24,1
1249,2024-11-24,2024-12-01,1
1250,2024-12-01,2024-12-08,0
1251,2024-12-08,2024-12-15,0
1252,2024-12-15,2024-12-22,1
1253,2024-12-22,2024-12-29,1
1254,2024-12-29,2025-01-05,1
1255,2025-01-05,2025-01-12,1
1256,2025-01-12,2025-01-19,1
1257,2025-01-19,2025-01-26,1
1258,2025-01-26,2025-02-02,0
1259,2025-02-02,2025-02-09,1
1260,2025-02-09,2025-02-16,1
